Specimen 1
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0.0028,36.11185
0.003,33.61168
0.0032,30.65829
0.0034,27.58831
0.0036,24.73838
0.0038,22.44512
0.004,20.74521
0.0042,19.23747
0.0044,17.92205
0.0046,16.80992
0.0048,15.90188
0.005,15.14503
0.0052,14.48753
0.0054,13.88162
0.0056,13.32485
0.0058,12.81986
0.006,12.3612
0.0062,11.95714
0.0064,11.5793
0.0066,11.1841

Specimen 9
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,9.03626
0.0004,16.63898
0.0006,23.56451
0.0008,29.54773
0.001,34.63713
0.0012,38.80402
0.0014,41.48355
0.0016,42.32394
0.0018,42.76891
0.002,42.41621
0.0022,40.65915
0.0024,38.16653
0.0026,35.69818
0.0028,33.41889
0.003,30.89629
0.0032,28.26576
0.0034,25.6667
0.0036,23.23851
0.0038,21.12058
0.004,19.36488
0.0042,17.78992
0.0044,16.35874
0.0046,15.046
0.0048,13.82548
0.005,12.65702
0.0052,11.56483
0.0054,10.59772
0.0056,9.80321
0.0058,9.13142
0.006,8.55536
0.0062,8.10382
0.0064,7.77372
0.0066,7.51091

Specimen 10
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.42371
0.0004,13.54624
0.0006,19.14866
0.0008,23.86841
0.001,27.35082
0.0012,29.33962
0.0014,31.44469
0.0016,31.92067
0.0018,31.50116
0.002,30.82894
0.0022,30.03587
0.0024,29.25386
0.0026,28.53623
0.0028,27.76308
0.003,26.88497
0.0032,25.82876
0.0034,24.40533
0.0036,22.77146
0.0038,21.15392
0.004,19.7795
0.0042,18.74032
0.0044,17.837
0.0046,17.03888
0.0048,16.32419
0.005,15.68472
0.0052,15.11005
0.0054,14.58492
0.0056,14.10782
0.0058,13.67141
0.006,13.24999
0.0062,12.8359
0.0064,12.43512
0.0066,12.03709

Specimen 11
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.76321
0.0004,15.50158
0.0006,22.10811
0.0008,27.31025
0.001,30.84643
0.0012,32.99418
0.0014,34.32763
0.0016,35.25218
0.0018,35.50916
0.002,35.36649
0.0022,35.07856
0.0024,34.2557
0.0026,32.54543
0.0028,30.57749
0.003,28.95613
0.0032,27.54391
0.0034,26.18465
0.0036,24.87564
0.0038,23.61415
0.004,22.37708
0.0042,21.17176
0.0044,20.04346
0.0046,19.03686
0.0048,18.14634
0.005,17.33543
0.0052,16.58029
0.0054,15.8638
0.0056,15.19068
0.0058,14.56374
0.006,13.98874
0.0062,13.46581
0.0064,12.9605
0.0066,12.43598

Specimen 12
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.49331
0.0004,14.2417
0.0006,20.4553
0.0008,26.8154
0.001,32.0038
0.0012,35.4513
0.0014,36.7434
0.0016,36.9366
0.0018,36.199
0.002,35.3343
0.0022,34.2961
0.0024,32.934
0.0026,31.4152
0.0028,29.5521
0.003,27.7995
0.0032,26.3876
0.0034,24.9943
0.0036,23.7904
0.0038,22.7981
0.004,21.6554
0.0042,20.6045
0.0044,19.6568
0.0046,18.8672
0.0048,18.1584
0.005,17.4933
0.0052,16.8824
0.0054,16.2612
0.0056,15.5904
0.0058,15.0006
0.006,14.3818
0.0062,13.9103
0.0064,13.4565
0.0066,13.0185

Specimen 13
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.87764
0.0004,15.3068
0.0006,22.3427
0.0008,28.8746
0.001,34.7251
0.0012,39.815
0.0014,43.6649
0.0016,46.2209
0.0018,47.7726
0.002,47.382
0.0022,44.8777
0.0024,41.2644
0.0026,38.2416
0.0028,36.1452
0.003,33.3889
0.0032,30.2653
0.0034,27.4001
0.0036,24.8916
0.0038,22.7819
0.004,20.9637
0.0042,19.4215
0.0044,18.0272
0.0046,16.8716
0.0048,15.8308
0.005,14.8907
0.0052,13.9116
0.0054,13.0482
0.0056,12.3796
0.0058,11.8243
0.006,11.3013
0.0062,10.8678
0.0064,10.4816
0.0066,10.1516

Specimen 14
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.82824
0.0004,14.7484
0.0006,21.3143
0.0008,27.4543
0.001,32.8606
0.0012,37.2297
0.0014,40.3978
0.0016,41.7382
0.0018,41.7315
0.002,40.8336
0.0022,38.8848
0.0024,38.2982
0.0026,37.0336
0.0028,34.7826
0.003,32.3465
0.0032,30.0733
0.0034,28.3184
0.0036,26.8668
0.0038,25.5059
0.004,24.0968
0.0042,22.5925
0.0044,21.0538
0.0046,19.7876
0.0048,18.7835
0.005,18.0629
0.0052,17.4444
0.0054,16.8415
0.0056,16.2554
0.0058,15.5683
0.006,14.973
0.0062,14.415
0.0064,13.7892
0.0066,13.1151

Specimen 15
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.21873
0.0004,13.8118
0.0006,20.0655
0.0008,25.6524
0.001,29.833
0.0012,33.4881
0.0014,35.8004
0.0016,37.2854
0.0018,38.4836
0.002,38.897
0.0022,38.7568
0.0024,37.4549
0.0026,35.3523
0.0028,34.0331
0.003,32.7148
0.0032,31.1319
0.0034,29.8288
0.0036,27.953
0.0038,25.9252
0.004,24.0055
0.0042,22.5455
0.0044,21.3349
0.0046,20.0836
0.0048,18.9069
0.005,17.8721
0.0052,16.8124
0.0054,15.7737
0.0056,14.8459
0.0058,13.9935
0.006,13.1139
0.0062,12.3372
0.0064,11.6364
0.0066,10.9178

Specimen 16
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.36549
0.0004,14.0951
0.0006,20.4264
0.0008,26.2788
0.001,31.5549
