Specimen 1
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0.0002,6.90544
0.0004,12.833887
0.0006,17.951585
0.0008,22.050393
0.001,25.086992
0.0012,27.123572
0.0014,28.047817
0.0016,28.18036
0.0018,28.11365
0.002,27.67484
0.0022,26.63701
0.0024,25.61258
0.0026,24.55585
0.0028,23.52569
0.003,22.63986
0.0032,21.79028
0.0034,20.84954
0.0036,19.85812
0.0038,18.92175
0.004,18.03132
0.0042,17.21973
0.0044,16.51366
0.0046,15.85687
0.0048,15.20923
0.005,14.58498
0.0052,13.98891
0.0054,13.41356
0.0056,12.83385
0.0058,12.26594
0.006,11.77311
0.0062,11.33437
0.0064,10.91522
0.0066,10.5175
0.0068,10.14564
0.007,9.79835

Specimen 10
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.1578
0.0004,13.123007
0.0006,17.525577
0.0008,20.863223
0.001,22.83556
0.0012,23.49479
0.0014,23.692063
0.0016,23.57553
0.0018,23.33858
0.002,22.97955
0.0022,22.56355
0.0024,22.1751
0.0026,21.77731
0.0028,21.35469
0.003,20.90655
0.0032,20.41701
0.0034,19.83746
0.0036,19.14588
0.0038,18.42278
0.004,17.65592
0.0042,16.93355
0.0044,16.28882
0.0046,15.68889
0.0048,15.12736
0.005,14.59731
0.0052,14.08889
0.0054,13.60646
0.0056,13.15109
0.0058,12.72432
0.006,12.33765
0.0062,11.96243
0.0064,11.56933
0.0066,11.17772
0.0068,10.79274
0.007,10.42518

Specimen 11
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.031743
0.0004,12.96003
0.0006,17.790351
0.0008,21.517868
0.001,24.256262
0.0012,26.013758
0.0014,26.106175
0.0016,25.92587
0.0018,25.41982
0.002,24.57175
0.0022,23.60661
0.0024,22.58685
0.0026,21.39864
0.0028,20.22077
0.003,19.04446
0.0032,17.89579
0.0034,16.81841
0.0036,15.78994
0.0038,14.9039
0.004,14.17082
0.0042,13.52164
0.0044,12.9223
0.0046,12.37763
0.0048,11.89179
0.005,11.44035
0.0052,10.97486
0.0054,10.51374
0.0056,10.07989
0.0058,9.66776
0.006,9.2738
0.0062,8.90358
0.0064,8.58505
0.0066,8.29812
0.0068,8.01378
0.007,7.74107

Specimen 12
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.509897
0.0004,13.83012
0.0006,19.055345
0.0008,23.217014
0.001,25.803995
0.0012,27.258148
0.0014,27.32094
0.0016,27.18433
0.0018,26.78677
0.002,26.30203
0.0022,25.81729
0.0024,24.92299
0.0026,24.02869
0.0028,23.13439
0.003,22.18105
0.0032,21.16867
0.0034,20.15629
0.0036,19.34398
0.0038,18.59836
0.004,17.85274
0.0042,17.10712
0.0044,16.3615
0.0046,15.61588
0.0048,14.87026
0.005,14.12464
0.0052,13.37902
0.0054,12.6334
0.0056,11.88778
0.0058,11.14216
0.006,10.39654
0.0062,9.65092
0.0064,9.02121
0.0066,8.4705
0.0068,7.99716
0.007,7.57365

Specimen 13
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.71216
0.0004,13.0554
0.0006,16.6551
0.0008,18.8696
0.001,20.2244
0.0012,20.8868
0.0014,21.108
0.0016,21.1385
0.0018,21.1205
0.002,20.8853
0.0022,20.559
0.0024,20.1688
0.0026,19.6508
0.0028,19.2083
0.003,18.9998
0.0032,18.7248
0.0034,18.4495
0.0036,18.1131
0.0038,17.7766
0.004,17.3968
0.0042,16.9632
0.0044,16.5221
0.0046,16.0383
0.0048,15.5525
0.005,15.044
0.0052,14.5353
0.0054,14.0404
0.0056,13.5749
0.0058,13.118
0.006,12.6722
0.0062,12.2068
0.0064,11.7378
0.0066,11.2828
0.0068,10.881
0.007,10.4918

Specimen 14
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.10433
0.0004,12.4001
0.0006,15.828
0.0008,17.2689
0.001,18.2742
0.0012,18.9482
0.0014,19.4364
0.0016,19.7067
0.0018,19.9329
0.002,19.9349
0.0022,19.6981
0.0024,19.3891
0.0026,19.088
0.0028,18.6781
0.003,18.106
0.0032,17.425
0.0034,16.7646
0.0036,16.1932
0.0038,15.6428
0.004,15.1663
0.0042,14.7084
0.0044,14.2963
0.0046,13.8925
0.0048,13.4896
0.005,13.1282
0.0052,12.7532
0.0054,12.3804
0.0056,12.0388
0.0058,11.7109
0.006,11.3912
0.0062,11.0691
0.0064,10.7681
0.0066,10.4723
0.0068,10.1859
0.007,9.90426

Specimen 15
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,6.75274
0.0004,12.2926
0.0006,15.8988
0.0008,17.9436
0.001,18.8054
0.0012,19.2986
0.0014,19.6392
0.0016,19.8155
0.0018,19.8118
0.002,19.6441
0.0022,19.4622
0.0024,19.2571
0.0026,18.9473
0.0028,18.4963
0.003,18.0222
0.0032,17.4581
0.0034,16.8116
0.0036,16.1341
0.0038,15.5045
0.004,14.9153
0.0042,14.3523
0.0044,13.8484
0.0046,13.3323
0.0048,12.8075
0.005,12.3251
0.0052,11.8373
0.0054,11.3911
0.0056,10.9691
0.0058,10.5459
0.006,10.1575
0.0062,9.78467
0.0064,9.38019
0.0066,9.04498
0.0068,8.70433
0.007,8.36848

Specimen 16
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,6.60027
0.0004,12.450993
0.0006,17.243338
0.0008,21.032113
0.001,23.860338
0.0012,25.882724
0.0014,26.978394
0.0016,27.03888
0.0018,26.99404
0.002,26.65621
0.0022,26.11442
0.0024,25.34395
0.0026,24.35686
0.0028,23.25399
0.003,22.01074
0.0032,20.79564
0.0034,19.58488
0.0036,18.44763
0.0038,17.40672
0.004,16.46363
0.0042,15.66046
0.0044,14.92677
0.0046,14.17558
0.0048,13.44159
0.005,12.75744
0.0052,12.10085
0.0054,11.44044
0.0056,10.78422
0.0058,10.12108
0.006,9.4783
0.0062,8.92773
0.0064,8.43092
0.0066,7.94764
0.0068,7.49686
0.007,7.09809

Specimen 17
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.687397
0.0004,14.426117
0.0006,20.269803
0.0008,25.137126
0.001,28.793737
0.0012,31.307568
0.0014,32.622604
0.0016,32.40229
0.0018,31.72683
0.002,30.6631
0.0022,28.89266
0.0024,26.82315
0.0026,24.88501
0.0028,23.27128
0.003,21.74862
0.0032,20.39614
0.0034,19.22386
0.0036,18.14068
0.0038,17.10639
0.004,16.13202
0.0042,15.21228
0.0044,14.34833
0.0046,13.54075
0.0048,12.79032
0.005,12.11337
0.0052,11.49016
0.0054,10.89616
0.0056,10.3407
0.0058,9.83122
0.006,9.3612
0.0062,8.93408
0.0064,8.5154
0.0066,8.08789
0.0068,7.69701
0.007,7.34367

Specimen 18
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.70671
0.0004,14.450547
0.0006,20.080235
0.0008,24.509359
0.001,27.716597
0.0012,29.910714
0.0014,31.215708
0.0016,31.33787
0.0018,31.23102
0.002,30.20295
0.0022,28.9113
0.0024,27.52062
0.0026,25.94403
0.0028,24.32304
0.003,22.55971
0.0032,20.76116
0.0034,19.29973
0.0036,18.23647
0.0038,17.2602
0.004,16.20975
0.0042,15.1887
0.0044,14.26771
0.0046,13.41473
0.0048,12.60812
0.005,11.84462
0.0052,11.10277
0.0054,10.38607
0.0056,9.739
0.0058,9.15012
0.006,8.58418
0.0062,8.04523
0.0064,7.57174
0.0066,7.14369
0.0068,6.72071
0.007,6.31235

Specimen 19
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.836433
0.0004,14.641557
0.0006,20.240693
0.0008,24.561045
0.001,27.63356
0.0012,29.554852
0.0014,30.328844
0.0016,30.39413
0.0018,30.02883
0.002,29.47545
0.0022,28.45182
0.0024,27.12659
0.0026,25.81142
0.0028,24.38559
0.003,22.96449
0.0032,21.55976
0.0034,20.21334
0.0036,19.13141
0.0038,18.26026
0.004,17.42962
0.0042,16.63585
0.0044,15.87573
0.0046,15.14942
0.0048,14.51048
0.005,13.94263
0.0052,13.41305
0.0054,12.91957
0.0056,12.4515
0.0058,12.02426
0.006,11.65449
0.0062,11.27752
0.0064,10.88202
0.0066,10.50005
0.0068,10.13119
0.007,9.77798

Specimen 20
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.83721
0.0004,14.382923
0.0006,19.973626
0.0008,24.383989
0.001,27.361092
0.0012,29.266085
0.0014,30.227951
0.0016,30.53297
0.0018,30.00315
0.002,29.11713
0.0022,27.70559
0.0024,26.18461
0.0026,24.70969
0.0028,23.23395
0.003,21.93786
0.0032,20.79078
0.0034,19.77499
0.0036,18.88143
0.0038,18.07309
0.004,17.33808
0.0042,16.6492
0.0044,15.99491
0.0046,15.37526
0.0048,14.78783
0.005,14.21998
0.0052,13.67076
0.0054,13.14567
0.0056,12.64839
0.0058,12.20526
0.006,11.7832
0.0062,11.34648
0.0064,10.91493
0.0066,10.49266
0.0068,10.08642
0.007,9.6968

Specimen 21
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.724763
0.0004,13.85657
0.0006,18.44446
0.0008,21.982026
0.001,24.605455
0.0012,26.349753
0.0014,27.361796
0.0016,27.79331
0.0018,27.67057
0.002,27.41256
0.0022,26.91594
0.0024,26.37764
0.0026,25.75876
0.0028,25.05594
0.003,24.2559
0.0032,23.3188
0.0034,22.23976
0.0036,21.27594
0.0038,20.44265
0.004,19.62379
0.0042,18.80145
0.0044,18.00822
0.0046,17.2452
0.0048,16.51679
0.005,15.81952
0.0052,15.1806
0.0054,14.60067
0.0056,14.04705
0.0058,13.51774
0.006,13.03399
0.0062,12.58443
0.0064,12.14316
0.0066,11.71428
0.0068,11.29997
0.007,10.88967

Specimen 22
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.8278
0.0004,14.320947
0.0006,19.386959
0.0008,23.487595
0.001,25.59137
0.0012,25.897792
0.0014,25.757907
0.0016,25.51424
0.0018,24.98995
0.002,24.32295
0.0022,23.5978
0.0024,22.75482
0.0026,21.88816
0.0028,21.00957
0.003,20.10331
0.0032,19.1353
0.0034,18.19899
0.0036,17.45155
0.0038,16.80078
0.004,16.18236
0.0042,15.60016
0.0044,15.04492
0.0046,14.5106
0.0048,13.99274
0.005,13.48547
0.0052,12.98424
0.0054,12.50268
0.0056,12.04197
0.0058,11.64831
0.006,11.2964
0.0062,10.93017
0.0064,10.57194
0.0066,10.23623
0.0068,9.90642
0.007,9.57914

Specimen 23
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.219673
0.0004,13.59287
0.0006,19.249002
0.0008,24.015754
0.001,27.680253
0.0012,30.301174
0.0014,31.878186
0.0016,32.48111
0.0018,32.19769
0.002,31.64266
0.0022,30.45122
0.0024,28.95029
0.0026,27.55823
0.0028,26.11553
0.003,24.64185
0.0032,23.14169
0.0034,21.61374
0.0036,20.10974
0.0038,18.63178
0.004,17.19332
0.0042,15.91536
0.0044,14.78062
0.0046,13.7407
0.0048,12.76727
0.005,11.89309
0.0052,11.14478
0.0054,10.46573
0.0056,9.81358
0.0058,9.20756
0.006,8.65316
0.0062,8.1375
0.0064,7.65118
0.0066,7.20769
0.0068,6.80596
0.007,6.45307

Specimen 24
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.658313
0.0004,14.6399
0.0006,20.661213
0.0008,25.489302
0.001,28.873113
0.0012,30.722599
0.0014,31.056909
0.0016,30.82248
0.0018,30.4194
0.002,29.72755
0.0022,28.86223
0.0024,27.73345
0.0026,26.44859
0.0028,24.93517
0.003,23.24572
0.0032,21.57448
0.0034,20.01186
0.0036,18.4689
0.0038,17.09424
0.004,15.9896
0.0042,15.03922
0.0044,14.12793
0.0046,13.27647
0.0048,12.54194
0.005,11.90222
0.0052,11.3353
0.0054,10.82843
0.0056,10.33316
0.0058,9.87227
0.006,9.50932
0.0062,9.18828
0.0064,8.87496
0.0066,8.57418
0.0068,8.28458
0.007,7.99378

Specimen 25
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,5.362713
0.0004,10.447953
0.0006,14.709173
0.0008,18.111192
0.001,20.58445
0.0012,22.304907
0.0014,23.250703
0.0016,23.54397
0.0018,23.59195
0.002,23.44294
0.0022,23.18886
0.0024,22.74419
0.0026,22.20091
0.0028,21.51769
0.003,20.80416
0.0032,20.05988
0.0034,19.31831
0.0036,18.58064
0.0038,17.88688
0.004,17.259
0.0042,16.64095
0.0044,16.01478
0.0046,15.4018
0.0048,14.80626
0.005,14.21313
0.0052,13.61711
0.0054,13.06368
0.0056,12.55363
0.0058,12.06577
0.006,11.5978
0.0062,11.14373
0.0064,10.69523
0.0066,10.22045
0.0068,9.74667
0.007,9.30264

Specimen 26
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.257623
0.0004,14.829077
0.0006,19.819373
0.0008,23.336333
0.001,24.791952
0.0012,24.92379
0.0014,24.932064
0.0016,24.90254
0.0018,24.7219
0.002,24.43924
0.0022,24.07495
0.0024,23.46852
0.0026,22.79347
0.0028,22.03671
0.003,21.32788
0.0032,20.75518
0.0034,20.17032
0.0036,19.51739
0.0038,18.81668
0.004,18.04186
0.0042,17.26568
0.0044,16.53434
0.0046,15.84948
0.0048,15.24624
0.005,14.6992
0.0052,14.19221
0.0054,13.72291
0.0056,13.28936
0.0058,12.87942
0.006,12.48536
0.0062,12.10197
0.0064,11.72622
0.0066,11.36028
0.0068,11.00442
0.007,10.67419

Specimen 27
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.635987
